"subject","object","probability"
"troublesomeness","difficultness","1"
"franklin","landholder","1"
"walloon","belgian","1"
"homiletics","art","1"
"straddle","gymnastic exercise","1"
"paraphrenic schizophrenia","dementia praecox","1"
"eyelessness","cecity","1"
"valence","power","1"
"aorta","arterial blood vessel","1"
"rarity","scarcity","1"
"hooded coat","topcoat","1"
"fortuneteller","soothsayer","1"
"cretonne","material","1"
"hemianopsia","visual defect","1"
"galactose","saccharose","1"
"levee","reception","1"
"prematureness","immaturity","1"
"antagonism","interference","1"
"accessary","malefactor","1"
"sharpness","conformation","1"
"stayer","animal","1"
"fire","element","1"
"chrisom","ointment","1"
"muster","mobilization","1"
"cabdriver","driver","1"
"dance master","terpsichorean","1"
"conceptus","animate being","1"
"getting","human activity","1"
"penstemon serrulatus","wildflower","1"
"bimetal","stuff","1"
"directive","pronouncement","1"
"chute","gutter","1"
"pharmacological medicine","medicine","1"
"introitus","porta","1"
"nepidae","arthropod family","1"
"stonemason","craftsman","1"
"foster-child","nipper","1"
"post doc","research worker","1"
"fore wing","wing","1"
"gam","herd","1"
"judgement","official document","1"
"charina bottae","boa","1"
"coke","cocain","1"
"terrain flight","flying","1"
"pulse counter","tabulator","1"
"pedigree","strain","1"
"market economy","economy","1"
"navy","office","1"
"accompanying vein","vein","1"
"ricebird","weaver finch","1"
"band","musical group","1"
"stria","groove","1"
"phs","government agency","1"
"flowering raspberry","raspberry","1"
"wagnerian","follower","1"
"perinatology","tocology","1"
"exposure","disclosure","1"
"driver","utility","1"
"distortionist","painter","1"
"pediculosis","infestation","1"
"follow-up","examination","1"
"analgesia","physiological state","1"
"discreteness","separation","1"
"hermit","lone wolf","1"
"nihilist","nonreligious person","1"
"snowcap","natural covering","1"
"huckleberry","shrub","1"
"cynodon plectostachyum","grass","1"
"rib","os","1"
"significance","subject matter","1"
"syringa vulgaris","lilac","1"
"stingaree-bush","shrub","1"
"defect","imperfection","1"
"ratiocination","proposition","1"
"spear-point","point","1"
"radiopacity","opacity","1"
"heaving","ascending","1"
"modiste","shaper","1"
"steelworks","manufacturing plant","1"
"stinging hair","hair","1"
"lysine intolerance","metabolic disorder","1"
"scrub-bird","passeriform bird","1"
"genus sida","dilleniid dicot genus","1"
"organiser","union representative","1"
"sleeping","ease","1"
"talpidae","mammal family","1"
"caddo","plains indian","1"
"collect","petition","1"
"heat dissipation","chilling","1"
"jesuitism","christian theology","1"
"acetate rayon","rayon","1"
"pudendum","privates","1"
"juncus inflexus","rush","1"
"wine","inebriant","1"
"christian holy day","holy day","1"
"ne","element","1"
"pajama","nightclothes","1"
"county palatine","territorial division","1"
"cascade","falls","1"
"ligature","ligament","1"
"allied command atlantic","headquarters","1"
"phone bill","account","1"
"disciplinarian","authoritarian","1"
"corbel step","stair","1"
"male genital organ","genital organ","1"
"map projection","projection","1"
"tarriance","delay","1"
"digital scanner","data input device","1"
"bowl","propulsion","1"
"crimea-congo hemorrhagic fever","vhf","1"
"spend-all","prodigal","1"
"batting","endeavor","1"
"correlation","reciprocity","1"
"fuel-air bomb","fuel-air explosive","1"
"flower","period","1"
"lede","section","1"
"muscle-builder","somebody","1"
"spoke","crosspiece","1"
"netted melon","muskmelon","1"
"samian ware","earthenware","1"
"prince of wales heath","erica","1"
"glare","stare","1"
"stretching","workout","1"
"panatela","cigar","1"
"dust","stuff","1"
"eriophyllum wallacei","wild flower","1"
"genus citharichthys","fish genus","1"
"cichlid fish","percoid","1"
"cornstalk","stalk","1"
"ophioglossum pendulum","adder's tongue fern","1"
"bean plant","leguminous plant","1"
"sheathing","protective covering","1"
"window","pane","1"
"breath","rest","1"
"exacerbation","exasperation","1"
"blue vitriol","copper sulfate","1"
"disparager","faultfinder","1"
"citrange","citrus fruit","1"
"galliano","liqueur","1"
"peace of mind","tranquillity","1"
"devil grass","grass","1"
"genus sarcophilus","mammal genus","1"
"radio radiation","electromagnetic radiation","1"
"c","letter","1"
"gold","invaluableness","1"
"hex","charm","1"
"crew","unit","1"
"puck","faery","1"
"erythrina indica","erythrina","1"
"1900s","decade","1"
"nostril","naris","1"
"honkie","white","1"
"grey whale","whalebone whale","1"
"stater","occupant","1"
"previous question","parliamentary law","1"
"suture","joint","1"
"pyaemia","septicaemia","1"
"system of weights","metric","1"
"marshalship","office","1"
"service staff","staff","1"
"seamanship","acquirement","1"
"yatobyo","zoonosis","1"
"hdl","lipoprotein","1"
"dermatosis","disease of the skin","1"
"tosh","meaninglessness","1"
"nicknack","curiosity","1"
"positive stimulus","input","1"
"canned goods","food product","1"
"valley oak","white oak","1"
"elaphure","cervid","1"
"stench","odor","1"
"eager","tidal flow","1"
"concertina","free-reed instrument","1"
"toss","motion","1"
"confederate","help","1"
"swan dive","diving","1"
"mulloidichthys martinicus","surmullet","1"
"hop garden","garden","1"
"metallurgy","science","1"
"granadillo","tree","1"
"bugle","herb","1"
"skim","natural covering","1"
"katharobe","organism","1"
"amphisbaenia","reptile genus","1"
"blowing up","reproof","1"
"privet andromeda","bush","1"
"sweet white violet","violet","1"
"atherinopsis","fish genus","1"
"exotic belly dancer","dancer","1"
